Country,% of land area that is agricultural (2021),Average annual precipitations (2020) millimeters,% of total employment that is agricultural (2020)
Afghanistan,59,327,46
Albania,41,"1,485",36.2
Algeria,17,89,10
American Samoa,15,..,..
Andorra,40,..,..
Angola,37,"1,010",55.2
Antigua and Barbuda,20,"1,030",..
Argentina,43,591,7.3
Armenia,59,562,52.4
Aruba,11,..,..
Australia,47,534,2.8
Austria,31,"1,110",3.9
Azerbaijan,58,447,36.3
"Bahamas, The",1,"1,292",3.1
Bahrain,10,83,0.9
Bangladesh,77,"2,666",38.1
Barbados,23,"1,422",2.8
Belarus,40,618,10.9
Belgium,45,847,0.9
Belize,8,"1,705",17.3
Benin,35,"1,039",29.4
Bermuda,6,..,..
Bhutan,13,"2,200",49.9
Bolivia,35,"1,146",30
Bosnia and Herzegovina,44,"1,028",12.2
Botswana,46,416,19.4
Brazil,29,"1,761",9.3
Brunei Darussalam,3,"2,722",1.3
Bulgaria,46,608,6.6
Burkina Faso,47,748,74.8
Burundi,82,"1,274",85.3
Cabo Verde,20,228,10.7
Cambodia,35,"1,904",36.9
Cameroon,21,"1,604",43.1
Canada,6,537,1.6
Cayman Islands,11,..,..
Central African Republic,8,"1,343",71.3
Chad,40,322,69.8
Channel Islands,43,..,2.4
Chile,14,"1,522",7.2
China,55,645,23.6
"Hong Kong SAR, China",4,..,0.2
"Macao SAR, China",..,..,0.5
Colombia,39,"3,240",16.7
Comoros,71,900,35.8
"Congo, Dem. Rep.",15,"1,543",56.9
"Congo, Rep.",31,"1,646",33
Costa Rica,35,"2,926",16.5
Cote d'Ivoire,74,"1,348",46.2
Croatia,26,"1,113",6.5
Cuba,62,"1,335",17.8
Curacao,..,..,..
Cyprus,13,498,2.7
Czechia,46,677,2.6
Denmark,65,703,2.1
Djibouti,74,220,1.2
Dominica,33,"2,083",..
Dominican Republic,51,"1,410",9
Ecuador,22,"2,274",31.8
"Egypt, Arab Rep.",4,18,20.4
El Salvador,58,"1,784",15.8
Equatorial Guinea,4,"2,156",56.1
Eritrea,63,384,64.7
Estonia,23,626,3
Eswatini,69,788,13.6
Ethiopia,34,848,64.6
Faroe Islands,70,..,..
Fiji,17,"2,592",29.7
Finland,7,536,3.7
France,52,867,2.4
French Polynesia,14,..,2.2
Gabon,8,"1,831",30.2
"Gambia, The",63,836,48.5
Georgia,34,"1,026",41.1
Germany,47,700,1.2
Ghana,55,"1,187",40.5
Greece,46,652,10.3
Greenland,1,..,..
Grenada,24,"2,350",..
Guam,30,..,0.2
Guatemala,43,"1,996",30.5
Guinea,60,"1,651",61.2
Guinea-Bissau,29,"1,577",51.2
Guyana,5,"2,387",12.1
Haiti,65,"1,440",46.3
Honduras,32,"1,976",25.2
Hungary,55,589,4.8
Iceland,19,"1,940",4
India,60,"1,083",44.7
Indonesia,34,"2,702",29.6
"Iran, Islamic Rep.",29,228,16.7
Iraq,22,216,8.7
Ireland,63,"1,118",4.5
Isle of Man,69,..,..
Israel,30,435,0.9
Italy,42,832,4
Jamaica,39,"2,051",15.9
Japan,13,"1,668",3.1
Jordan,12,111,3.3
Kazakhstan,79,250,13.5
Kenya,49,630,33.6
Kiribati,42,..,..
"Korea, Dem. People's Rep.",22,"1,054",45.5
"Korea, Rep.",16,"1,274",5.4
Kosovo,..,..,..
Kuwait,8,121,2
Kyrgyz Republic,54,533,25.1
Lao PDR,9,"1,834",66.4
Latvia,32,667,7.2
Lebanon,66,661,3.7
Lesotho,80,788,30.2
Liberia,20,"2,391",40.2
Libya,9,56,9.6
Liechtenstein,32,..,..
Lithuania,47,656,5.7
Luxembourg,52,934,0.8
North Macedonia,50,619,11.6
Madagascar,70,"1,513",71.7
Malawi,64,"1,181",62.9
Malaysia,26,"2,875",10.5
Maldives,20,"1,972",8
Mali,35,282,68.1
Malta,27,560,1.1
Marshall Islands,39,..,..
Mauritania,39,92,34
Mauritius,43,"2,041",5.3
Mexico,50,758,13.2
"Micronesia, Fed. Sts.",7,..,..
Moldova,69,450,57.8
Monaco,..,..,..
Mongolia,72,241,25.1
Montenegro,19,..,7.5
Morocco,68,346,32.1
Mozambique,53,"1,032",70.8
Myanmar,20,"2,091",46.5
Namibia,47,285,22.1
Nepal,29,"1,500",62.2
Netherlands,54,778,2.1
New Caledonia,10,..,1.9
New Zealand,39,"1,732",6
Nicaragua,42,"2,280",28.5
Niger,37,151,71.4
Nigeria,75,"1,150",38.8
Northern Mariana Islands,1,..,..
Norway,3,"1,414",2.1
Oman,5,125,5.2
Pakistan,47,494,38
Palau,9,..,..
Panama,29,"2,928",14.1
Papua New Guinea,3,"3,142",19.3
Paraguay,42,"1,130",21.3
Peru,20,"1,738",33.7
Philippines,43,"2,348",24.8
Poland,47,600,9.6
Portugal,43,854,5.4
Puerto Rico,19,"2,054",1.3
Qatar,6,74,1.4
Romania,57,637,20.5
Russian Federation,13,460,6
Rwanda,81,"1,212",50.1
Samoa,18,"2,880",20.9
San Marino,38,..,..
Sao Tome and Principe,44,"3,200",17.8
Saudi Arabia,81,59,3.2
Senegal,49,686,23
Serbia,41,..,14.6
Seychelles,3,"2,330",..
Sierra Leone,55,"2,526",44.6
Singapore,1,"2,497",0.1
Sint Maarten (Dutch part),..,..,..
Slovak Republic,39,824,2.6
Slovenia,30,"1,162",4.1
Solomon Islands,4,"3,028",38.1
Somalia,70,282,26.7
South Africa,79,495,21.4
South Sudan,45,900,61
Spain,52,636,4
Sri Lanka,45,"1,712",27.1
St. Kitts and Nevis,23,"1,427",..
St. Lucia,16,"2,301",7.6
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,18,"1,583",10.2
Sudan,60,250,41.1
Suriname,1,"2,331",7.8
Sweden,7,624,1.7
Switzerland,38,"1,537",2.5
Syrian Arab Republic,76,252,16.1
Tajikistan,35,691,44.8
Tanzania,45,"1,071",65.8
Thailand,46,"1,622",31.4
Timor-Leste,23,"1,500",42.5
Togo,70,"1,168",31.8
Tonga,49,..,28.8
Trinidad and Tobago,11,"2,200",3.1
Tunisia,62,207,14.5
Turkiye,49,593,17.6
Turkmenistan,72,161,23.4
Turks and Caicos Islands,1,..,..
Tuvalu,60,..,..
Uganda,72,"1,180",67.9
Ukraine,71,565,15.3
United Arab Emirates,6,78,1.8
United Kingdom,71,"1,220",1
United States,44,715,1.7
Uruguay,80,"1,300",8
Uzbekistan,58,206,26.9
Vanuatu,15,"2,000",44.7
"Venezuela, RB",24,"2,044",11.5
Viet Nam,39,"1,821",32.6
Virgin Islands (U.S.),9,..,1.4
West Bank and Gaza,65,402,6.4
"Yemen, Rep.",44,167,30.1
Zambia,32,"1,020",59.1
Zimbabwe,42,657,58.8
